Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,LinkToPart,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension KA,Dimension L,Dimension M,Dimension RA,Dimension SA,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QASN13A208S,22213 ,2 1/2 in,3.15 in / 80 mm,7.72 in / 196 mm,9.25 in / 235 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn13a208s-4,Mounted Bearing,22213,2 1/2 in,Imperial,QASN13A208SB/QASN13A208SC/QASN13A208SEB/QASN13A208SEC/QASN13A208SEM/QASN13A208SEN/QASN13A208SEO/QASN13A208SET/QASN13A208SM/QASN13A208SN/QASN13A208SO/QASN13A208ST,Single Concentric,Two-Bolt Pillow Block,0883450353809/0883450353816/0883450353823/0883450353830/0883450353847/0883450353854/0883450353861/0883450353878/0883450353885/0883450353892/0883450353908/0883450353915,3.15 in/80 mm,6.18 in/157 mm,3.81 in/96.8 mm,7.72 in/196 mm,9.25 in/235 mm,10.83 in/275 mm,2.91 in/74 mm,1.38 in/35 mm,0.625 in/16 mm,1.22 in/31 mm,3.62 in/92 mm,2.17 in/55 mm,0.24 in/6 mm,3.39 in/86 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAPMD13A208S,22213 ,2 1/2 in,3 in / 76.2 mm,7.5 in / 190.5 mm,8.5 in / 215.9 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd13a208s,Mounted Bearing,22213,2 1/2 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,3 in/76.2 mm,6 in/152.4 mm,3.81 in/96.8 mm,7.5 in/190.5 mm,8.5 in/215.9 mm,10.75 in/273.1 mm,2.9 in/73.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,1.24 in/31.5 mm,3.6 in/91.4 mm,2.15 in/54.6 mm,0.21 in/5.3 mm,3.39 in/86.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAP15A211S,22215 ,2 11/16 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap15a211s,Mounted Bearing,22215,2 11/16 in,Imperial,QAP15A211SB/QAP15A211SC/QAP15A211SEB/QAP15A211SEC/QAP15A211SEM/QAP15A211SEN/QAP15A211SEO/QAP15A211SET/QAP15A211SM/QAP15A211SN/QAP15A211SO/QAP15A211ST,Single Concentric,Two-Bolt Pillow Block,0883450285421/0883450285438/0883450285445/0883450285452/0883450285469/0883450285476/0883450285483/0883450285490/0883450285506/0883450285513/0883450285520/0883450285537,3.13 in/79.5 mm,6.47 in/164.3 mm,4.29 in/109 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAPL15A211S,22215 ,2 11/16 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl15a211s,Mounted Bearing,22215,2 11/16 in,Imperial,QAPL15A211SB/QAPL15A211SC/QAPL15A211SEB/QAPL15A211SEC/QAPL15A211SEM/QAPL15A211SEN/QAPL15A211SEO/QAPL15A211SET/QAPL15A211SM/QAPL15A211SN/QAPL15A211SO/QAPL15A211ST,Single Concentric,Two-Bolt Pillow Block,0883450298568/0883450298575/0883450298582/0883450298599/0883450298605/0883450298612/0883450298629/0883450298636/0883450298643/0883450298650/0883450298667/0883450298674,3.25 in/82.6 mm,6.59 in/167.4 mm,4.5 in/114.3 mm,7.7 in/195.6 mm,8.4 in/213.4 mm,10.44 in/265.2 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAP15A211S - Stainless,22215 ,2 11/16 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap15a211s-stainless,Mounted Bearing,22215,2 11/16 in,Imperial,QAP15A211SBSS/QAP15A211SCSS/QAP15A211SEBSS/QAP15A211SECSS/QAP15A211SEMSS/QAP15A211SENSS/QAP15A211SEOSS/QAP15A211SETSS/QAP15A211SMSS/QAP15A211SNSS/QAP15A211SOSS/QAP15A211STSS,Single Concentric,Two-Bolt Pillow Block,0883450703284/0883450703291/0883450703307/0883450703314/0883450703321/0883450703338/0883450703345/0883450703352/0883450703369/0883450703376/0883450703383/0883450703390,3.13 in/79.5 mm,6.47 in/164.3 mm,4.29 in/109 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QASN15A211S,22215 ,2 11/16 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn15a211s-4,Mounted Bearing,22215,2 11/16 in,Imperial,QASN15A211SB/QASN15A211SC/QASN15A211SEB/QASN15A211SEC/QASN15A211SEM/QASN15A211SEN/QASN15A211SEO/QASN15A211SET/QASN15A211SM/QASN15A211SN/QASN15A211SO/QASN15A211ST/QASN15A211STNG,Single Concentric,Two-Bolt Pillow Block,0883450354165/0883450354172/0883450354189/0883450354196/0883450354202/0883450354219/0883450354226/0883450354233/0883450354240/0883450354257/0883450354264/0883450354271/0883450462365,3.74 in/95 mm,7.2 in/183 mm,4.29 in/114 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.34 in/34 mm,0.75 in/20 mm,1.26 in/32 mm,3.86 in/98 mm,2.36 in/60 mm,0.24 in/6 mm,3.62 in/92 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAPMD15A211S,22215 ,2 11/16 in,3.5 in / 88.9 mm,8.5 in / 215.9 mm,9.5 in / 241.3 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd15a211s,Mounted Bearing,22215,2 11/16 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,3.5 in/88.9 mm,6-3/4 in/171.5 mm,4.29 in/109 mm,8.5 in/215.9 mm,9.5 in/241.3 mm,11-3/4 in/298.5 mm,3 in/76.2 mm,1.5 in/38.1 mm,0.875 in/24 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAP15A212S,22215 ,2 3/4 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap15a212s,Mounted Bearing,22215,2 3/4 in,Imperial,QAP15A212SB/QAP15A212SC/QAP15A212SEB/QAP15A212SEC/QAP15A212SEM/QAP15A212SEN/QAP15A212SEO/QAP15A212SET/QAP15A212SM/QAP15A212SN/QAP15A212SO/QAP15A212ST,Single Concentric,Two-Bolt Pillow Block,0883450330961/0883450330978/0883450330985/0883450330992/0883450331005/0883450331012/0883450331029/0883450331036/0883450331043/0883450331050/0883450331067/0883450331074,3.13 in/79.5 mm,6.47 in/164.3 mm,4.29 in/109 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAPL15A212S,22215 ,2 3/4 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl15a212s,Mounted Bearing,22215,2 3/4 in,Imperial,QAPL15A212SB/QAPL15A212SC/QAPL15A212SEB/QAPL15A212SEC/QAPL15A212SEM/QAPL15A212SEN/QAPL15A212SEO/QAPL15A212SET/QAPL15A212SM/QAPL15A212SN/QAPL15A212SO/QAPL15A212ST,Single Concentric,Two-Bolt Pillow Block,0883450332521/0883450332538/0883450332545/0883450332552/0883450332569/0883450332576/0883450332583/0883450332590/0883450332606/0883450332613/0883450332620/0883450332637,3.25 in/82.6 mm,6.59 in/167.4 mm,4.5 in/114.3 mm,7.7 in/195.6 mm,8.4 in/213.4 mm,10.44 in/265.2 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAP15A212S - Stainless,22215 ,2 3/4 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap15a212s-stainless,Mounted Bearing,22215,2 3/4 in,Imperial,QAP15A212SBSS/QAP15A212SCSS/QAP15A212SEBSS/QAP15A212SECSS/QAP15A212SEMSS/QAP15A212SENSS/QAP15A212SEOSS/QAP15A212SETSS/QAP15A212SMSS/QAP15A212SNSS/QAP15A212SOSS/QAP15A212STSS,Single Concentric,Two-Bolt Pillow Block,0883450703529/0883450703536/0883450703543/0883450703550/0883450703567/0883450703574/0883450703581/0883450703598/0883450703604/0883450703611/0883450703628/0883450703635,3.13 in/79.5 mm,6.47 in/164.3 mm,4.29 in/109 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QASN15A212S,22215 ,2 3/4 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn15a212s-4,Mounted Bearing,22215,2 3/4 in,Imperial,QASN15A212SB/QASN15A212SC/QASN15A212SEB/QASN15A212SEC/QASN15A212SEM/QASN15A212SEN/QASN15A212SEO/QASN15A212SET/QASN15A212SM/QASN15A212SN/QASN15A212SO/QASN15A212ST,Single Concentric,Two-Bolt Pillow Block,0883450032032/0883450354288/0883450354295/0883450354301/0883450354318/0883450354325/0883450354332/0883450354349/0883450354356/0883450354363/0883450354370/0883450354387,3.74 in/95 mm,7.2 in/183 mm,4.29 in/114 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.34 in/34 mm,0.75 in/20 mm,1.26 in/32 mm,3.86 in/98 mm,2.36 in/60 mm,0.24 in/6 mm,3.62 in/92 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAPMD15A212S,22215 ,2 3/4 in,3.5 in / 88.9 mm,8.5 in / 215.9 mm,9.5 in / 241.3 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd15a212s,Mounted Bearing,22215,2 3/4 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,3.5 in/88.9 mm,6-3/4 in/171.5 mm,4.29 in/109 mm,8.5 in/215.9 mm,9.5 in/241.3 mm,11-3/4 in/298.5 mm,3 in/76.2 mm,1.5 in/38.1 mm,0.875 in/24 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAP15A215S,22215 ,2 15/16 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap15a215s,Mounted Bearing,22215,2 15/16 in,Imperial,QAP15A215SB/QAP15A215SC/QAP15A215SEB/QAP15A215SEC/QAP15A215SEM/QAP15A215SEN/QAP15A215SEO/QAP15A215SET/QAP15A215SM/QAP15A215SN/QAP15A215SO/QAP15A215ST/QAP15A215STHT/QAP15A215STNG,Single Concentric,Two-Bolt Pillow Block,0883450045100/0883450045117/0883450045131/0883450045148/0883450045155/0883450045162/0883450045179/0883450045186/0883450187909/0883450188067/0883450265409/0883450265560/0883450500180/0883450961387,3.13 in/79.5 mm,6.47 in/164.3 mm,4.29 in/109 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAPL15A215S,22215 ,2 15/16 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl15a215s,Mounted Bearing,22215,2 15/16 in,Imperial,QAPL15A215SB/QAPL15A215SC/QAPL15A215SEB/QAPL15A215SEC/QAPL15A215SEM/QAPL15A215SEN/QAPL15A215SEO/QAPL15A215SET/QAPL15A215SM/QAPL15A215SN/QAPL15A215SO/QAPL15A215ST,Single Concentric,Two-Bolt Pillow Block,0883450047807/0883450047814/0883450047838/0883450047845/0883450047852/0883450047869/0883450047876/0883450047883/0883450188548/0883450188708/0883450266048/0883450266208,3.25 in/82.6 mm,6.59 in/167.4 mm,4.5 in/114.3 mm,7.7 in/195.6 mm,8.4 in/213.4 mm,10.44 in/265.2 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAP15A215S - Stainless,22215 ,2 15/16 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap15a215s-stainless,Mounted Bearing,22215,2 15/16 in,Imperial,QAP15A215SBSS/QAP15A215SCSS/QAP15A215SEBSS/QAP15A215SECSS/QAP15A215SEMSS/QAP15A215SENSS/QAP15A215SEOSS/QAP15A215SETSS/QAP15A215SMSS/QAP15A215SNSS/QAP15A215SOSS/QAP15A215STSS,Single Concentric,Two-Bolt Pillow Block,0883450704007/0883450704014/0883450704021/0883450704038/0883450704045/0883450704052/0883450704069/0883450704076/0883450704083/0883450704090/0883450704106/0883450704113,3.13 in/79.5 mm,6.47 in/164.3 mm,4.29 in/109 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QASN15A215S,22215 ,2 15/16 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn15a215s-4,Mounted Bearing,22215,2 15/16 in,Imperial,QASN15A215SB/QASN15A215SC/QASN15A215SEB/QASN15A215SEC/QASN15A215SEM/QASN15A215SEN/QASN15A215SEO/QASN15A215SET/QASN15A215SM/QASN15A215SN/QASN15A215SO/QASN15A215ST,Single Concentric,Two-Bolt Pillow Block,0883450354394/0883450354400/0883450354417/0883450354424/0883450354431/0883450354448/0883450354455/0883450354462/0883450354479/0883450354486/0883450354493/0883450354509,3.74 in/95 mm,7.2 in/183 mm,4.29 in/114 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.34 in/34 mm,0.75 in/20 mm,1.26 in/32 mm,3.86 in/98 mm,2.36 in/60 mm,0.24 in/6 mm,3.62 in/92 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAPMD15A215S,22215 ,2 15/16 in,3.5 in / 88.9 mm,8.5 in / 215.9 mm,9.5 in / 241.3 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd15a215s,Mounted Bearing,22215,2 15/16 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,3.5 in/88.9 mm,6-3/4 in/171.5 mm,4.29 in/109 mm,8.5 in/215.9 mm,9.5 in/241.3 mm,11-3/4 in/298.5 mm,3 in/76.2 mm,1.5 in/38.1 mm,0.875 in/24 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAP15A300S,22215 ,3 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap15a300s,Mounted Bearing,22215,3 in,Imperial,QAP15A300SB/QAP15A300SC/QAP15A300SEB/QAP15A300SEC/QAP15A300SEM/QAP15A300SEN/QAP15A300SEO/QAP15A300SET/QAP15A300SM/QAP15A300SN/QAP15A300SO/QAP15A300ST/QAP15A300STNG,Single Concentric,Two-Bolt Pillow Block,0883450045209/0883450045216/0883450045230/0883450045247/0883450045254/0883450045261/0883450045278/0883450045285/0883450187916/0883450188074/0883450265416/0883450265577/0883450457217,3.13 in/79.5 mm,6.47 in/164.3 mm,4.29 in/109 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAPL15A300S,22215 ,3 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl15a300s,Mounted Bearing,22215,3 in,Imperial,QAPL15A300SB/QAPL15A300SC/QAPL15A300SEB/QAPL15A300SEC/QAPL15A300SEM/QAPL15A300SEN/QAPL15A300SEO/QAPL15A300SET/QAPL15A300SM/QAPL15A300SN/QAPL15A300SO/QAPL15A300ST,Single Concentric,Two-Bolt Pillow Block,0883450047906/0883450047913/0883450047937/0883450047944/0883450047951/0883450047968/0883450047975/0883450047982/0883450188555/0883450188715/0883450266055/0883450266215,3.25 in/82.6 mm,6.59 in/167.4 mm,4.5 in/114.3 mm,7.7 in/195.6 mm,8.4 in/213.4 mm,10.44 in/265.2 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
QAP15A300S - Stainless,22215 ,3 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap15a300s-stainless,Mounted Bearing,22215,3 in,Imperial,QAP15A300SBSS/QAP15A300SCSS/QAP15A300SEBSS/QAP15A300SECSS/QAP15A300SEMSS/QAP15A300SENSS/QAP15A300SEOSS/QAP15A300SETSS/QAP15A300SMSS/QAP15A300SNSS/QAP15A300SOSS/QAP15A300STSS,Single Concentric,Two-Bolt Pillow Block,0883450704243/0883450704250/0883450704267/0883450704274/0883450704281/0883450704298/0883450704304/0883450704311/0883450704328/0883450704335/0883450704342/0883450704359,3.13 in/79.5 mm,6.47 in/164.3 mm,4.29 in/109 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,1.25 in/31.8 mm,3.87 in/98.3 mm,2.37 in/60.2 mm,0.25 in/6.4 mm,3.62 in/91.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0020,0.0031,0.0020 in/0.050 mm,0.0031 in/0.080 mm
