Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RVV,Dimension SVV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVVPL16V212S,22216 ,2 3/4 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,QVVPL16V212SB/QVVPL16V212SC/QVVPL16V212SEB/QVVPL16V212SEC/QVVPL16V212SEM/QVVPL16V212SEN/QVVPL16V212SEO/QVVPL16V212SET/QVVPL16V212SM/QVVPL16V212SN/QVVPL16V212SO/QVVPL16V212ST,Double V-Lock,Two-Bolt Pillow Block,0883450172288/0883450172479/0883450172660/0883450173049/0883450173230/0883450173421/0883450203050/0883450203432/0883450215473/0883450215855/0883450227896/0883450228275,3.25 in/82.6 mm,6.59 in/167.4 mm,4.19 in/106.4 mm,7.7 in/195.6 mm,8.4 in/213.4 mm,10.44 in/265.2 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPXT16V212S,22216 ,2 3/4 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,QVVPXT16V212SB/QVVPXT16V212SC/QVVPXT16V212SEB/QVVPXT16V212SEC/QVVPXT16V212SEM/QVVPXT16V212SEN/QVVPXT16V212SEO/QVVPXT16V212SET/QVVPXT16V212SM/QVVPXT16V212SN/QVVPXT16V212SO/QVVPXT16V212ST,Double V-Lock,Two-Bolt Pillow Block,0883450374866/0883450374873/0883450374880/0883450374897/0883450374910/0883450374927/0883450374934/0883450374941/0883450374958/0883450374965/0883450374972/0883450374989,3.5 in/88.9 mm,6.84 in/173.7 mm,4.19 in/106.4 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,13 in/330.2 mm,2.98 in/75.7 mm,1.38 in/35.1 mm,0.875 in/24 mm,3.58 in/90.9 mm,0.6 in/15.2 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVSN16V212S,22216 ,2 3/4 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,QVVSN16V212SB/QVVSN16V212SC/QVVSN16V212SEB/QVVSN16V212SEC/QVVSN16V212SEM/QVVSN16V212SEN/QVVSN16V212SEO/QVVSN16V212SET/QVVSN16V212SM/QVVSN16V212SN/QVVSN16V212SO/QVVSN16V212ST,Double V-Lock,Two-Bolt Pillow Block,0883450147873/0883450147880/0883450147910/0883450147927/0883450177627/0883450178105/0883450205214/0883450205597/0883450217637/0883450218016/0883450230056/0883450230438,3.74 in/95 mm,7.2 in/183 mm,4.17 in/106 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.33 in/34 mm,0.75 in/20 mm,3.58 in/91 mm,0.59 in/15 mm,4.17 in/106 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVP16V215S,22216 ,2 15/16 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 15/16 in,Imperial,QVVP16V215SB/QVVP16V215SC/QVVP16V215SEB/QVVP16V215SEC/QVVP16V215SEM/QVVP16V215SEN/QVVP16V215SEO/QVVP16V215SET/QVVP16V215SM/QVVP16V215SN/QVVP16V215SO/QVVP16V215ST,Double V-Lock,Two-Bolt Pillow Block,0883450170796/0883450170987/0883450171168/0883450171540/0883450171731/0883450171922/0883450202312/0883450202695/0883450214735/0883450215114/0883450227155/0883450227537,3.13 in/79.5 mm,6.47 in/164.3 mm,4.19 in/106.4 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPA17V215S,22217 ,2 15/16 in,3.75 in / 95.3 mm,9.5 in / 241.3 mm,11 in / 279.4 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 15/16 in,Imperial,QVVPA17V215SB/QVVPA17V215SC/QVVPA17V215SEB/QVVPA17V215SEC/QVVPA17V215SEM/QVVPA17V215SEN/QVVPA17V215SEO/QVVPA17V215SET/QVVPA17V215SM/QVVPA17V215SN/QVVPA17V215SO/QVVPA17V215ST,Double V-Lock,Two-Bolt Pillow Block,0883450072816/0883450072847/0883450208536/0883450208680/0883450220965/0883450221115/0883450233392/0883450233545/0883450242134/0883450242288/0883450247092/0883450247245,3.75 in/95.3 mm,7.32 in/185.9 mm,4.19 in/106.4 mm,9.5 in/241.3 mm,11 in/279.4 mm,12.63 in/320.8 mm,3 in/76.2 mm,1.33 in/33.8 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPL16V215S,22216 ,2 15/16 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 15/16 in,Imperial,QVVPL16V215SB/QVVPL16V215SC/QVVPL16V215SEB/QVVPL16V215SEC/QVVPL16V215SEM/QVVPL16V215SEN/QVVPL16V215SEO/QVVPL16V215SET/QVVPL16V215SM/QVVPL16V215SN/QVVPL16V215SO/QVVPL16V215ST,Double V-Lock,Two-Bolt Pillow Block,0883450172301/0883450172493/0883450172684/0883450173063/0883450173254/0883450173445/0883450203074/0883450203456/0883450215497/0883450215879/0883450227919/0883450228299,3.25 in/82.6 mm,6.59 in/167.4 mm,4.19 in/106.4 mm,7.7 in/195.6 mm,8.4 in/213.4 mm,10.44 in/265.2 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPN17V215S,22217 ,2 15/16 in,3.75 in / 95.3 mm,9.5 in / 241.3 mm,11 in / 279.4 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 15/16 in,Imperial,QVVPN17V215SB/QVVPN17V215SC/QVVPN17V215SEB/QVVPN17V215SEC/QVVPN17V215SEM/QVVPN17V215SEN/QVVPN17V215SEO/QVVPN17V215SET/QVVPN17V215SM/QVVPN17V215SN/QVVPN17V215SO/QVVPN17V215ST,Double V-Lock,Two-Bolt Pillow Block,0883450079976/0883450079983/0883450208246/0883450208383/0883450220668/0883450220811/0883450233095/0883450233248/0883450241830/0883450241984/0883450246798/0883450246941,3.75 in/95.3 mm,7.32 in/185.9 mm,4.19 in/106.4 mm,9.5 in/241.3 mm,11 in/279.4 mm,12.63 in/320.8 mm,3 in/76.2 mm,1.33 in/33.8 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPXT16V215S,22216 ,2 15/16 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 15/16 in,Imperial,QVVPXT16V215SB/QVVPXT16V215SC/QVVPXT16V215SEB/QVVPXT16V215SEC/QVVPXT16V215SEM/QVVPXT16V215SEN/QVVPXT16V215SEO/QVVPXT16V215SET/QVVPXT16V215SM/QVVPXT16V215SN/QVVPXT16V215SO/QVVPXT16V215ST,Double V-Lock,Two-Bolt Pillow Block,0883450374996/0883450375009/0883450375016/0883450375023/0883450375030/0883450375047/0883450375054/0883450375061/0883450375078/0883450375085/0883450375092/0883450375108,3.5 in/88.9 mm,6.84 in/173.7 mm,4.19 in/106.4 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,13 in/330.2 mm,2.98 in/75.7 mm,1.38 in/35.1 mm,0.875 in/24 mm,3.58 in/90.9 mm,0.6 in/15.2 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVSN16V215S,22216 ,2 15/16 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 15/16 in,Imperial,QVVSN16V215SB/QVVSN16V215SC/QVVSN16V215SEB/QVVSN16V215SEC/QVVSN16V215SEM/QVVSN16V215SEN/QVVSN16V215SEO/QVVSN16V215SET/QVVSN16V215SM/QVVSN16V215SN/QVVSN16V215SO/QVVSN16V215ST,Double V-Lock,Two-Bolt Pillow Block,0883450148078/0883450148085/0883450148115/0883450148122/0883450177641/0883450178129/0883450205238/0883450205610/0883450217651/0883450218030/0883450230070/0883450230452,3.74 in/95 mm,7.2 in/183 mm,4.17 in/106 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.33 in/34 mm,0.75 in/20 mm,3.58 in/91 mm,0.59 in/15 mm,4.17 in/106 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVP16V300S,22216 ,3 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,3 in,Imperial,QVVP16V300SB/QVVP16V300SC/QVVP16V300SEB/QVVP16V300SEC/QVVP16V300SEM/QVVP16V300SEN/QVVP16V300SEO/QVVP16V300SET/QVVP16V300SETNG/QVVP16V300SM/QVVP16V300SN/QVVP16V300SO/QVVP16V300ST,Double V-Lock,Two-Bolt Pillow Block,0883450170802/0883450170994/0883450171175/0883450171557/0883450171748/0883450171939/0883450202329/0883450202701/0883450214742/0883450215121/0883450227162/0883450227544/0883450491877,3.13 in/79.5 mm,6.47 in/164.3 mm,4.19 in/106.4 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPA17V300S,22217 ,3 in,3.75 in / 95.3 mm,9.5 in / 241.3 mm,11 in / 279.4 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,3 in,Imperial,QVVPA17V300SB/QVVPA17V300SC/QVVPA17V300SEB/QVVPA17V300SEC/QVVPA17V300SEM/QVVPA17V300SEN/QVVPA17V300SEO/QVVPA17V300SET/QVVPA17V300SM/QVVPA17V300SN/QVVPA17V300SO/QVVPA17V300ST,Double V-Lock,Two-Bolt Pillow Block,0883450072915/0883450072946/0883450208543/0883450208697/0883450220972/0883450221122/0883450233408/0883450233552/0883450242141/0883450242295/0883450247108/0883450247252,3.75 in/95.3 mm,7.32 in/185.9 mm,4.19 in/106.4 mm,9.5 in/241.3 mm,11 in/279.4 mm,12.63 in/320.8 mm,3 in/76.2 mm,1.33 in/33.8 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPL16V300S,22216 ,3 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,3 in,Imperial,QVVPL16V300SB/QVVPL16V300SC/QVVPL16V300SEB/QVVPL16V300SEC/QVVPL16V300SEM/QVVPL16V300SEN/QVVPL16V300SEO/QVVPL16V300SET/QVVPL16V300SM/QVVPL16V300SN/QVVPL16V300SO/QVVPL16V300ST,Double V-Lock,Two-Bolt Pillow Block,0883450172318/0883450172509/0883450172691/0883450173070/0883450173261/0883450173452/0883450203081/0883450203463/0883450215503/0883450215886/0883450227926/0883450228305,3.25 in/82.6 mm,6.59 in/167.4 mm,4.19 in/106.4 mm,7.7 in/195.6 mm,8.4 in/213.4 mm,10.44 in/265.2 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPN17V300S,22217 ,3 in,3.75 in / 95.3 mm,9.5 in / 241.3 mm,11 in / 279.4 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,3 in,Imperial,QVVPN17V300SB/QVVPN17V300SC/QVVPN17V300SEB/QVVPN17V300SEC/QVVPN17V300SEM/QVVPN17V300SEN/QVVPN17V300SEO/QVVPN17V300SET/QVVPN17V300SM/QVVPN17V300SN/QVVPN17V300SO/QVVPN17V300ST,Double V-Lock,Two-Bolt Pillow Block,0883450079990/0883450080002/0883450208253/0883450208390/0883450220675/0883450220828/0883450233101/0883450233255/0883450241847/0883450241991/0883450246804/0883450246958,3.75 in/95.3 mm,7.32 in/185.9 mm,4.19 in/106.4 mm,9.5 in/241.3 mm,11 in/279.4 mm,12.63 in/320.8 mm,3 in/76.2 mm,1.33 in/33.8 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPXT16V300S,22216 ,3 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,3 in,Imperial,QVVPXT16V300SB/QVVPXT16V300SC/QVVPXT16V300SEB/QVVPXT16V300SEC/QVVPXT16V300SEM/QVVPXT16V300SEN/QVVPXT16V300SEO/QVVPXT16V300SET/QVVPXT16V300SM/QVVPXT16V300SN/QVVPXT16V300SO/QVVPXT16V300ST,Double V-Lock,Two-Bolt Pillow Block,0883450375115/0883450375122/0883450375139/0883450375146/0883450375153/0883450375160/0883450375177/0883450375184/0883450375207/0883450375214/0883450375221/0883450375238,3.5 in/88.9 mm,6.84 in/173.7 mm,4.19 in/106.4 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,13 in/330.2 mm,2.98 in/75.7 mm,1.38 in/35.1 mm,0.875 in/24 mm,3.58 in/90.9 mm,0.6 in/15.2 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVSN16V300S,22216 ,3 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,3 in,Imperial,QVVSN16V300SB/QVVSN16V300SC/QVVSN16V300SEB/QVVSN16V300SEC/QVVSN16V300SEM/QVVSN16V300SEN/QVVSN16V300SEO/QVVSN16V300SET/QVVSN16V300SM/QVVSN16V300SN/QVVSN16V300SO/QVVSN16V300ST,Double V-Lock,Two-Bolt Pillow Block,0883450148177/0883450148184/0883450148214/0883450148221/0883450177658/0883450178136/0883450205245/0883450205627/0883450217668/0883450218047/0883450230087/0883450230469,3.74 in/95 mm,7.2 in/183 mm,4.17 in/106 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.33 in/34 mm,0.75 in/20 mm,3.58 in/91 mm,0.59 in/15 mm,4.17 in/106 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVP19V303S,22219 ,3 3/16 in,3.75 in / 95.3 mm,9.38 in / 238.3 mm,11.25 in / 285.8 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVVP19V303SB/QVVP19V303SC/QVVP19V303SEB/QVVP19V303SEC/QVVP19V303SEM/QVVP19V303SEN/QVVP19V303SEO/QVVP19V303SET/QVVP19V303SM/QVVP19V303SN/QVVP19V303SO/QVVP19V303ST,Double V-Lock,Two-Bolt Pillow Block,0883450170826/0883450171014/0883450171199/0883450171571/0883450171762/0883450171953/0883450202343/0883450202725/0883450214766/0883450215145/0883450227186/0883450227568,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,9.38 in/238.3 mm,11.25 in/285.8 mm,13.5 in/342.9 mm,3.41 in/86.6 mm,1.88 in/47.8 mm,0.875 in/24 mm,4.02 in/102.1 mm,0.61 in/15.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPA20V303S,22220 ,3 3/16 in,4.5 in / 114.3 mm,10.88 in / 276.4 mm,12.88 in / 327.2 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 3/16 in,Imperial,QVVPA20V303SB/QVVPA20V303SC/QVVPA20V303SEB/QVVPA20V303SEC/QVVPA20V303SEM/QVVPA20V303SEN/QVVPA20V303SEO/QVVPA20V303SET/QVVPA20V303SM/QVVPA20V303SN/QVVPA20V303SO/QVVPA20V303ST,Double V-Lock,Two-Bolt Pillow Block,0883450146753/0883450147002/0883450152174/0883450152327/0883450169837/0883450174473/0883450183383/0883450183536/0883450262453/0883450263542/0883450282130/0883450282284,4.5 in/114.3 mm,8.63 in/219.2 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,12.88 in/327.2 mm,14.5 in/368.3 mm,3.42 in/86.9 mm,1.63 in/41.4 mm,0.875 in/24 mm,4.03 in/102.4 mm,0.61 in/15.5 mm,4.63 in/117.6 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPL19V303S,22219 ,3 3/16 in,3.75 in / 95.3 mm,9.25 in / 235 mm,10.75 in / 273.1 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVVPL19V303SB/QVVPL19V303SC/QVVPL19V303SEB/QVVPL19V303SEC/QVVPL19V303SEM/QVVPL19V303SEN/QVVPL19V303SEO/QVVPL19V303SET/QVVPL19V303SM/QVVPL19V303SN/QVVPL19V303SO/QVVPL19V303ST,Double V-Lock,Two-Bolt Pillow Block,0883450172332/0883450172523/0883450172714/0883450173094/0883450173285/0883450173476/0883450203104/0883450203487/0883450215527/0883450215909/0883450227940/0883450228329,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,9.25 in/235 mm,10.75 in/273.1 mm,13 in/330.2 mm,3.41 in/86.6 mm,1.88 in/47.8 mm,0.875 in/24 mm,4.02 in/102.1 mm,0.61 in/15.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVSN19V303S,22219 ,3 3/16 in,3.94 in / 100 mm,10.98 in / 279 mm,11.5 in / 292 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVVSN19V303SB/QVVSN19V303SC/QVVSN19V303SEB/QVVSN19V303SEC/QVVSN19V303SEM/QVVSN19V303SEN/QVVSN19V303SEO/QVVSN19V303SET/QVVSN19V303SM/QVVSN19V303SN/QVVSN19V303SO/QVVSN19V303ST,Double V-Lock,Two-Bolt Pillow Block,0883450149068/0883450149075/0883450149105/0883450149112/0883450177672/0883450178150/0883450205269/0883450205641/0883450217682/0883450218061/0883450230100/0883450230483,3.94 in/100 mm,7.87 in/200 mm,4.88 in/124 mm,10.98 in/279 mm,11.5 in/292 mm,13.58 in/345 mm,3.39 in/86 mm,1.53 in/39 mm,0.79 in/20 mm,4.02 in/102 mm,0.63 in/16 mm,4.65 in/118 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVP19V304S,22219 ,3 1/4 in,3.75 in / 95.3 mm,9.38 in / 238.3 mm,11.25 in / 285.8 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/4 in,Imperial,QVVP19V304SB/QVVP19V304SC/QVVP19V304SEB/QVVP19V304SEC/QVVP19V304SEM/QVVP19V304SEN/QVVP19V304SEO/QVVP19V304SET/QVVP19V304SM/QVVP19V304SN/QVVP19V304SO/QVVP19V304ST,Double V-Lock,Two-Bolt Pillow Block,0883450170833/0883450171021/0883450171205/0883450171588/0883450171779/0883450171960/0883450202350/0883450202732/0883450214773/0883450215152/0883450227193/0883450227575,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,9.38 in/238.3 mm,11.25 in/285.8 mm,13.5 in/342.9 mm,3.41 in/86.6 mm,1.88 in/47.8 mm,0.875 in/24 mm,4.02 in/102.1 mm,0.61 in/15.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPA20V304S,22220 ,3 1/4 in,4.5 in / 114.3 mm,10.88 in / 276.4 mm,12.88 in / 327.2 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 1/4 in,Imperial,QVVPA20V304SB/QVVPA20V304SC/QVVPA20V304SEB/QVVPA20V304SEC/QVVPA20V304SEM/QVVPA20V304SEN/QVVPA20V304SEO/QVVPA20V304SET/QVVPA20V304SM/QVVPA20V304SN/QVVPA20V304SO/QVVPA20V304ST,Double V-Lock,Two-Bolt Pillow Block,0883450146760/0883450147019/0883450152181/0883450152334/0883450169844/0883450174480/0883450183390/0883450183543/0883450263245/0883450263559/0883450282147/0883450282291,4.5 in/114.3 mm,8.63 in/219.2 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,12.88 in/327.2 mm,14.5 in/368.3 mm,3.42 in/86.9 mm,1.63 in/41.4 mm,0.875 in/24 mm,4.03 in/102.4 mm,0.61 in/15.5 mm,4.63 in/117.6 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
