Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,Bolt Hole Spacing - Across,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension MT,Dimension RTT,Dimension ST,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Pre Install Clearance Min,Pre Install Clearance Max
TAAPH048K815S,23148 ,8 15/16 in,8-1/4 in / 209.5 mm,22.5 in / 571.5 mm,25 in / 635 mm,5.0 in / 127 mm,748000 lbf / 3330000 N,512000 lbf / 2280000 N,,Mounted Bearing,23148,8 15/16 in,Imperial,TAAPH048K815SB/TAAPH048K815SC/TAAPH048K815SEB/TAAPH048K815SEC/TAAPH048K815SEM/TAAPH048K815SEN/TAAPH048K815SEO/TAAPH048K815SET/TAAPH048K815SMT/TAAPH048K815SNT/TAAPH048K815SO/TAAPH048K815ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,8-1/4 in/209.5 mm,18.1 in/459.7 mm,11.81 in/300 mm,22.5 in/571.5 mm,25 in/635 mm,5.0 in/127 mm,29-1/2 in/749.3 mm,8.0 in/203.2 mm,3.54 in/89.9 mm,1.25 in/30 mm,8.92 in/226.6 mm,4.93 in/125.2 mm,0.88 in/22.4 mm,9.71 in/246.6 mm,748000 lbf/3330000 N,512000 lbf/2280000 N,0.3,2.28,3.4,,,,,,,0.083 in/2.108 mm,,,
TAA30SN48K815S,23148 ,8 15/16 in,8.27 in / 220 mm,20.47 in / 520 mm,22.05 in / 560 mm,5.51 in / 140 mm,748000 lbf / 3330000 N,512000 lbf / 2280000 N,,Mounted Bearing,23148,8 15/16 in,Imperial,TAA30SN48K815SB/TAA30SN48K815SC/TAA30SN48K815SEB/TAA30SN48K815SEC/TAA30SN48K815SEM/TAA30SN48K815SEN/TAA30SN48K815SEO/TAA30SN48K815SET/TAA30SN48K815SMT/TAA30SN48K815SNT/TAA30SN48K815SO/TAA30SN48K815ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,8.27 in/220 mm,17.87 in/454 mm,11.81 in/300 mm,20.47 in/520 mm,22.05 in/560 mm,5.51 in/140 mm,25.2 in/640 mm,9.45 in/240 mm,3.54 in/90 mm,1.25 in/30 mm,9.38 in/238 mm,4.93 in/125.2 mm,0.87 in/22.1 mm,9.71 in/246.6 mm,748000 lbf/3330000 N,512000 lbf/2280000 N,0.3,2.28,3.4,,,,,,,0.083 in/2.108 mm,,,
TAA31SN48K815S,23148 ,8 15/16 in,9.45 in / 240 mm,22.83 in / 580 mm,24.41 in / 620 mm,5.91 in / 150 mm,748000 lbf / 3330000 N,512000 lbf / 2280000 N,,Mounted Bearing,23148,8 15/16 in,Imperial,TAA31SN48K815SB/TAA31SN48K815SC/TAA31SN48K815SEB/TAA31SN48K815SEC/TAA31SN48K815SEM/TAA31SN48K815SEN/TAA31SN48K815SEO/TAA31SN48K815SET/TAA31SN48K815SMT/TAA31SN48K815SNT/TAA31SN48K815SO/TAA31SN48K815ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,9.45 in/240 mm,18.66 in/474 mm,11.81 in/300 mm,22.83 in/580 mm,24.41 in/620 mm,5.91 in/150 mm,27.56 in/700 mm,9.45 in/240 mm,3.54 in/90 mm,1.25 in/30 mm,9.66 in/245 mm,4.93 in/125.2 mm,0.88 in/22.4 mm,9.71 in/246.6 mm,748000 lbf/3330000 N,512000 lbf/2280000 N,0.3,2.28,3.4,,,,,,,0.083 in/2.108 mm,,,
TAAPH048K900S,23148 ,9 in,8-1/4 in / 209.5 mm,22.5 in / 571.5 mm,25 in / 635 mm,5.0 in / 127 mm,748000 lbf / 3330000 N,512000 lbf / 2280000 N,,Mounted Bearing,23148,9 in,Imperial,TAAPH048K900SB/TAAPH048K900SC/TAAPH048K900SEB/TAAPH048K900SEC/TAAPH048K900SEM/TAAPH048K900SEN/TAAPH048K900SEO/TAAPH048K900SET/TAAPH048K900SMT/TAAPH048K900SNT/TAAPH048K900SO/TAAPH048K900ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,8-1/4 in/209.5 mm,18.1 in/459.7 mm,11.81 in/300 mm,22.5 in/571.5 mm,25 in/635 mm,5.0 in/127 mm,29-1/2 in/749.3 mm,8.0 in/203.2 mm,3.54 in/89.9 mm,1.25 in/30 mm,8.92 in/226.6 mm,4.93 in/125.2 mm,0.88 in/22.4 mm,9.71 in/246.6 mm,748000 lbf/3330000 N,512000 lbf/2280000 N,0.3,2.28,3.4,,,,,,,0.083 in/2.108 mm,,,
TAA30SN48K900S,23148 ,9 in,8.27 in / 220 mm,20.47 in / 520 mm,22.05 in / 560 mm,5.51 in / 140 mm,748000 lbf / 3330000 N,512000 lbf / 2280000 N,,Mounted Bearing,23148,9 in,Imperial,TAA30SN48K900SB/TAA30SN48K900SC/TAA30SN48K900SEB/TAA30SN48K900SEC/TAA30SN48K900SEM/TAA30SN48K900SEN/TAA30SN48K900SEO/TAA30SN48K900SET/TAA30SN48K900SMT/TAA30SN48K900SNT/TAA30SN48K900SO/TAA30SN48K900ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,8.27 in/220 mm,17.87 in/454 mm,11.81 in/300 mm,20.47 in/520 mm,22.05 in/560 mm,5.51 in/140 mm,25.2 in/640 mm,9.45 in/240 mm,3.54 in/90 mm,1.25 in/30 mm,9.38 in/238 mm,4.93 in/125.2 mm,0.87 in/22.1 mm,9.71 in/246.6 mm,748000 lbf/3330000 N,512000 lbf/2280000 N,0.3,2.28,3.4,,,,,,,0.083 in/2.108 mm,,,
TAA31SN48K900S,23148 ,9 in,9.45 in / 240 mm,22.83 in / 580 mm,24.41 in / 620 mm,5.91 in / 150 mm,748000 lbf / 3330000 N,512000 lbf / 2280000 N,,Mounted Bearing,23148,9 in,Imperial,TAA31SN48K900SB/TAA31SN48K900SC/TAA31SN48K900SEB/TAA31SN48K900SEC/TAA31SN48K900SEM/TAA31SN48K900SEN/TAA31SN48K900SEO/TAA31SN48K900SET/TAA31SN48K900SMT/TAA31SN48K900SNT/TAA31SN48K900SO/TAA31SN48K900ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,9.45 in/240 mm,18.66 in/474 mm,11.81 in/300 mm,22.83 in/580 mm,24.41 in/620 mm,5.91 in/150 mm,27.56 in/700 mm,9.45 in/240 mm,3.54 in/90 mm,1.25 in/30 mm,9.66 in/245 mm,4.93 in/125.2 mm,0.88 in/22.4 mm,9.71 in/246.6 mm,748000 lbf/3330000 N,512000 lbf/2280000 N,0.3,2.28,3.4,,,,,,,0.083 in/2.108 mm,,,
TAAPH052K907S,23152 ,9 7/16 in,9.5 in / 241.3 mm,24.75 in / 628.6 mm,27.88 in / 708.1 mm,5.25 in / 133.3 mm,885000 lbf / 3930000 N,603000 lbf / 2680000 N,,Mounted Bearing,23152,9 7/16 in,Imperial,TAAPH052K907SB/TAAPH052K907SC/TAAPH052K907SEB/TAAPH052K907SEC/TAAPH052K907SEM/TAAPH052K907SEN/TAAPH052K907SEO/TAAPH052K907SET/TAAPH052K907SMT/TAAPH052K907SNT/TAAPH052K907SO/TAAPH052K907ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,9.5 in/241.3 mm,20.16 in/512.1 mm,12.99 in/330 mm,24.75 in/628.6 mm,27.88 in/708.1 mm,5.25 in/133.3 mm,32.75 in/831.8 mm,9.3 in/236.2 mm,3 in/76.2 mm,1.5 in/36 mm,10.1 in/256.5 mm,5.45 in/138.4 mm,1.15 in/29.2 mm,10.82 in/274.8 mm,885000 lbf/3930000 N,603000 lbf/2680000 N,0.3,2.23,3.31,,,,,,,0.083 in/2.108 mm,,,
TAAPH152K907S,23152 ,9 7/16 in,10.25 in / 260.3 mm,29 in / 736.6 mm,30.5 in / 774.7 mm,8.75 in / 222.2 mm,885000 lbf / 3930000 N,603000 lbf / 2680000 N,,Mounted Bearing,23152,9 7/16 in,Imperial,TAAPH152K907SB/TAAPH152K907SC/TAAPH152K907SEB/TAAPH152K907SEC/TAAPH152K907SEM/TAAPH152K907SEN/TAAPH152K907SEO/TAAPH152K907SET/TAAPH152K907SMT/TAAPH152K907SNT/TAAPH152K907SO/TAAPH152K907ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,10.25 in/260.3 mm,20.91 in/531 mm,12.99 in/330 mm,29 in/736.6 mm,30.5 in/774.7 mm,8.75 in/222.2 mm,35 in/889 mm,11.75 in/298.5 mm,3.74 in/95 mm,1.625 in/42 mm,11.33 in/288 mm,5.45 in/138.4 mm,1.15 in/29.2 mm,10.82 in/274.8 mm,885000 lbf/3930000 N,603000 lbf/2680000 N,0.3,2.23,3.31,,,,,,,0.083 in/2.108 mm,,,
TAA30SN52K907S,23152 ,9 7/16 in,9.45 in / 240 mm,22.83 in / 580 mm,24.41 in / 620 mm,5.91 in / 150 mm,885000 lbf / 3930000 N,603000 lbf / 2680000 N,,Mounted Bearing,23152,9 7/16 in,Imperial,TAA30SN52K907SB/TAA30SN52K907SC/TAA30SN52K907SEB/TAA30SN52K907SEC/TAA30SN52K907SEM/TAA30SN52K907SEN/TAA30SN52K907SEO/TAA30SN52K907SET/TAA30SN52K907SMT/TAA30SN52K907SNT/TAA30SN52K907SO/TAA30SN52K907ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,9.45 in/240 mm,19.53 in/496 mm,12.99 in/330 mm,22.83 in/580 mm,24.41 in/620 mm,5.91 in/150 mm,27.56 in/700 mm,10.0 in/254 mm,2.96 in/75 mm,1.25 in/30 mm,10.1 in/257 mm,5.45 in/138.4 mm,0.72 in/18.3 mm,10.82 in/274.8 mm,885000 lbf/3930000 N,603000 lbf/2680000 N,0.3,2.23,3.31,,,,,,,0.083 in/2.108 mm,,,
TAA31SN52K907S,23152 ,9 7/16 in,10.24 in / 260 mm,25.28 in / 642 mm,26.85 in / 682 mm,6.3 in / 160 mm,885000 lbf / 3930000 N,603000 lbf / 2680000 N,,Mounted Bearing,23152,9 7/16 in,Imperial,TAA31SN52K907SB/TAA31SN52K907SC/TAA31SN52K907SEB/TAA31SN52K907SEC/TAA31SN52K907SEM/TAA31SN52K907SEN/TAA31SN52K907SEO/TAA31SN52K907SET/TAA31SN52K907SMT/TAA31SN52K907SNT/TAA31SN52K907SO/TAA31SN52K907ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,10.24 in/260 mm,20.89 in/530.6 mm,12.99 in/330 mm,25.28 in/642 mm,26.85 in/682 mm,6.3 in/160 mm,30.31 in/770 mm,9.3 in/236 mm,3.74 in/95 mm,1.5 in/36 mm,10.45 in/265 mm,5.45 in/138.4 mm,1.15 in/29.2 mm,10.82 in/274.8 mm,885000 lbf/3930000 N,603000 lbf/2680000 N,0.3,2.23,3.31,,,,,,,0.083 in/2.108 mm,,,
TAAPH052K908S,23152 ,9 1/2 in,9.5 in / 241.3 mm,24.75 in / 628.6 mm,27.88 in / 708.1 mm,5.25 in / 133.3 mm,885000 lbf / 3930000 N,603000 lbf / 2680000 N,,Mounted Bearing,23152,9 1/2 in,Imperial,TAAPH052K908SB/TAAPH052K908SC/TAAPH052K908SEB/TAAPH052K908SEC/TAAPH052K908SEM/TAAPH052K908SEN/TAAPH052K908SEO/TAAPH052K908SET/TAAPH052K908SMT/TAAPH052K908SNT/TAAPH052K908SO/TAAPH052K908ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,9.5 in/241.3 mm,20.16 in/512.1 mm,12.99 in/330 mm,24.75 in/628.6 mm,27.88 in/708.1 mm,5.25 in/133.3 mm,32.75 in/831.8 mm,9.3 in/236.2 mm,3 in/76.2 mm,1.5 in/36 mm,10.1 in/256.5 mm,5.45 in/138.4 mm,1.15 in/29.2 mm,10.82 in/274.8 mm,885000 lbf/3930000 N,603000 lbf/2680000 N,0.3,2.23,3.31,,,,,,,0.083 in/2.108 mm,,,
TAAPH152K908S,23152 ,9 1/2 in,10.25 in / 260.3 mm,29 in / 736.6 mm,30.5 in / 774.7 mm,8.75 in / 222.2 mm,885000 lbf / 3930000 N,603000 lbf / 2680000 N,,Mounted Bearing,23152,9 1/2 in,Imperial,TAAPH152K908SB/TAAPH152K908SC/TAAPH152K908SEB/TAAPH152K908SEC/TAAPH152K908SEM/TAAPH152K908SEN/TAAPH152K908SEO/TAAPH152K908SET/TAAPH152K908SMT/TAAPH152K908SNT/TAAPH152K908SO/TAAPH152K908ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,10.25 in/260.3 mm,20.91 in/531 mm,12.99 in/330 mm,29 in/736.6 mm,30.5 in/774.7 mm,8.75 in/222.2 mm,35 in/889 mm,11.75 in/298.5 mm,3.74 in/95 mm,1.625 in/42 mm,11.33 in/288 mm,5.45 in/138.4 mm,1.15 in/29.2 mm,10.82 in/274.8 mm,885000 lbf/3930000 N,603000 lbf/2680000 N,0.3,2.23,3.31,,,,,,,0.083 in/2.108 mm,,,
TAA30SN52K908S,23152 ,9 1/2 in,9.45 in / 240 mm,22.83 in / 580 mm,24.41 in / 620 mm,5.91 in / 150 mm,885000 lbf / 3930000 N,603000 lbf / 2680000 N,,Mounted Bearing,23152,9 1/2 in,Imperial,TAA30SN52K908SB/TAA30SN52K908SC/TAA30SN52K908SEB/TAA30SN52K908SEC/TAA30SN52K908SEM/TAA30SN52K908SEN/TAA30SN52K908SEO/TAA30SN52K908SET/TAA30SN52K908SMT/TAA30SN52K908SNT/TAA30SN52K908SO/TAA30SN52K908ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,9.45 in/240 mm,19.53 in/496 mm,12.99 in/330 mm,22.83 in/580 mm,24.41 in/620 mm,5.91 in/150 mm,27.56 in/700 mm,10.0 in/254 mm,2.96 in/75 mm,1.25 in/30 mm,10.1 in/257 mm,5.45 in/138.4 mm,0.72 in/18.3 mm,10.82 in/274.8 mm,885000 lbf/3930000 N,603000 lbf/2680000 N,0.3,2.23,3.31,,,,,,,0.083 in/2.108 mm,,,
TAA31SN52K908S,23152 ,9 1/2 in,10.24 in / 260 mm,25.28 in / 642 mm,26.85 in / 682 mm,6.3 in / 160 mm,885000 lbf / 3930000 N,603000 lbf / 2680000 N,,Mounted Bearing,23152,9 1/2 in,Imperial,TAA31SN52K908SB/TAA31SN52K908SC/TAA31SN52K908SEB/TAA31SN52K908SEC/TAA31SN52K908SEM/TAA31SN52K908SEN/TAA31SN52K908SEO/TAA31SN52K908SET/TAA31SN52K908SMT/TAA31SN52K908SNT/TAA31SN52K908SO/TAA31SN52K908ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,10.24 in/260 mm,20.89 in/530.6 mm,12.99 in/330 mm,25.28 in/642 mm,26.85 in/682 mm,6.3 in/160 mm,30.31 in/770 mm,9.3 in/236 mm,3.74 in/95 mm,1.5 in/36 mm,10.45 in/265 mm,5.45 in/138.4 mm,1.15 in/29.2 mm,10.82 in/274.8 mm,885000 lbf/3930000 N,603000 lbf/2680000 N,0.3,2.23,3.31,,,,,,,0.083 in/2.108 mm,,,
TAAPH056K915S,23156 ,9 15/16 in,9.88 in / 250.9 mm,26.25 in / 666.7 mm,29.5 in / 749.3 mm,5.5 in / 139.7 mm,937000 lbf / 4170000 N,626000 lbf / 2780000 N,,Mounted Bearing,23156,9 15/16 in,Imperial,TAAPH056K915SB/TAAPH056K915SC/TAAPH056K915SEB/TAAPH056K915SEC/TAAPH056K915SEM/TAAPH056K915SEN/TAAPH056K915SEO/TAAPH056K915SET/TAAPH056K915SMT/TAAPH056K915SNT/TAAPH056K915SO/TAAPH056K915ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,9.88 in/250.9 mm,20.55 in/522 mm,13.78 in/350 mm,26.25 in/666.7 mm,29.5 in/749.3 mm,5.5 in/139.7 mm,34.25 in/869 mm,9.3 in/236.2 mm,2.8 in/71.1 mm,1.5 in/36 mm,10.11 in/256.8 mm,5.46 in/138.7 mm,0.8 in/20.3 mm,10.83 in/275.1 mm,937000 lbf/4170000 N,626000 lbf/2780000 N,0.3,2.26,3.36,,,,,,,0.083 in/2.108 mm,,,
TAAPH156K915S,23156 ,9 15/16 in,12 in / 304.8 mm,30 in / 762 mm,33.5 in / 851 mm,9 in / 228.6 mm,937000 lbf / 4170000 N,626000 lbf / 2780000 N,,Mounted Bearing,23156,9 15/16 in,Imperial,TAAPH156K915SB/TAAPH156K915SC/TAAPH156K915SEB/TAAPH156K915SEC/TAAPH156K915SEM/TAAPH156K915SEN/TAAPH156K915SEO/TAAPH156K915SET/TAAPH156K915SMT/TAAPH156K915SNT/TAAPH156K915SO/TAAPH156K915ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,12 in/304.8 mm,22.67 in/576 mm,13.78 in/350 mm,30 in/762 mm,33.5 in/851 mm,9 in/228.6 mm,38.25 in/971.5 mm,13 in/330.2 mm,4 in/101.6 mm,1.625 in/42 mm,11.96 in/304 mm,5.46 in/138.7 mm,0.88 in/22.4 mm,10.83 in/275.1 mm,937000 lbf/4170000 N,626000 lbf/2780000 N,0.3,2.26,3.36,,,,,,,0.083 in/2.108 mm,,,
TAA30SN56K915S,23156 ,9 15/16 in,10.24 in / 260 mm,25.28 in / 642 mm,26.85 in / 682 mm,6.3 in / 160 mm,937000 lbf / 4170000 N,626000 lbf / 2780000 N,,Mounted Bearing,23156,9 15/16 in,Imperial,TAA30SN56K915SB/TAA30SN56K915SC/TAA30SN56K915SEB/TAA30SN56K915SEC/TAA30SN56K915SEM/TAA30SN56K915SEN/TAA30SN56K915SEO/TAA30SN56K915SET/TAA30SN56K915SMT/TAA30SN56K915SNT/TAA30SN56K915SO/TAA30SN56K915ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,10.24 in/260 mm,20.91 in/531 mm,13.78 in/350 mm,25.28 in/642 mm,26.85 in/682 mm,6.3 in/160 mm,30.31 in/770 mm,9.3 in/236 mm,3.22 in/82 mm,1.5 in/36 mm,10.11 in/257 mm,5.46 in/138.7 mm,0.8 in/20.3 mm,10.83 in/275.1 mm,937000 lbf/4170000 N,626000 lbf/2780000 N,0.3,2.26,3.36,,,,,,,0.083 in/2.108 mm,,,
TAA31SN56K915S,23156 ,9 15/16 in,11.02 in / 280 mm,25.59 in / 650 mm,27.17 in / 690 mm,6.3 in / 160 mm,937000 lbf / 4170000 N,626000 lbf / 2780000 N,,Mounted Bearing,23156,9 15/16 in,Imperial,TAA31SN56K915SB/TAA31SN56K915SC/TAA31SN56K915SEB/TAA31SN56K915SEC/TAA31SN56K915SEM/TAA31SN56K915SEN/TAA31SN56K915SEO/TAA31SN56K915SET/TAA31SN56K915SMT/TAA31SN56K915SNT/TAA31SN56K915SO/TAA31SN56K915ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,11.02 in/280 mm,21.69 in/551 mm,13.78 in/350 mm,25.59 in/650 mm,27.17 in/690 mm,6.3 in/160 mm,31.1 in/790 mm,9.3 in/236 mm,3.94 in/100 mm,1.5 in/36 mm,10.46 in/266 mm,5.46 in/138.7 mm,0.8 in/20.3 mm,10.83 in/275.1 mm,937000 lbf/4170000 N,626000 lbf/2780000 N,0.3,2.26,3.36,,,,,,,0.083 in/2.108 mm,,,
TAAPH056K1000S,23156 ,10 in,9.88 in / 250.9 mm,26.25 in / 666.7 mm,29.5 in / 749.3 mm,5.5 in / 139.7 mm,937000 lbf / 4170000 N,626000 lbf / 2780000 N,,Mounted Bearing,23156,10 in,Imperial,TAAPH056K1000SB/TAAPH056K1000SC/TAAPH056K1000SEB/TAAPH056K1000SEC/TAAPH056K1000SEM/TAAPH056K1000SEN/TAAPH056K1000SEO/TAAPH056K1000SET/TAAPH056K1000SMT/TAAPH056K1000SNT/TAAPH056K1000SO/TAAPH056K1000ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,9.88 in/250.9 mm,20.55 in/522 mm,13.78 in/350 mm,26.25 in/666.7 mm,29.5 in/749.3 mm,5.5 in/139.7 mm,34.25 in/869 mm,9.3 in/236.2 mm,2.8 in/71.1 mm,1.5 in/36 mm,10.11 in/256.8 mm,5.46 in/138.7 mm,0.8 in/20.3 mm,10.83 in/275.1 mm,937000 lbf/4170000 N,626000 lbf/2780000 N,0.3,2.26,3.36,,,,,,,0.083 in/2.108 mm,,,
TAAPH156K1000S,23156 ,10 in,12 in / 304.8 mm,30 in / 762 mm,33.5 in / 851 mm,9 in / 228.6 mm,937000 lbf / 4170000 N,626000 lbf / 2780000 N,,Mounted Bearing,23156,10 in,Imperial,TAAPH156K1000SB/TAAPH156K1000SC/TAAPH156K1000SEB/TAAPH156K1000SEC/TAAPH156K1000SEM/TAAPH156K1000SEN/TAAPH156K1000SEO/TAAPH156K1000SET/TAAPH156K1000SMT/TAAPH156K1000SNT/TAAPH156K1000SO/TAAPH156K1000ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,12 in/304.8 mm,22.67 in/576 mm,13.78 in/350 mm,30 in/762 mm,33.5 in/851 mm,9 in/228.6 mm,38.25 in/971.5 mm,13 in/330.2 mm,4 in/101.6 mm,1.625 in/42 mm,11.96 in/304 mm,5.46 in/138.7 mm,0.88 in/22.4 mm,10.83 in/275.1 mm,937000 lbf/4170000 N,626000 lbf/2780000 N,0.3,2.26,3.36,,,,,,,0.083 in/2.108 mm,,,
TAA30SN56K1000S,23156 ,10 in,10.24 in / 260 mm,25.28 in / 642 mm,26.85 in / 682 mm,6.3 in / 160 mm,937000 lbf / 4170000 N,626000 lbf / 2780000 N,,Mounted Bearing,23156,10 in,Imperial,TAA30SN56K1000SB/TAA30SN56K1000SC/TAA30SN56K1000SEB/TAA30SN56K1000SEC/TAA30SN56K1000SEM/TAA30SN56K1000SEN/TAA30SN56K1000SEO/TAA30SN56K1000SET/TAA30SN56K1000SMT/TAA30SN56K1000SNT/TAA30SN56K1000SO/TAA30SN56K1000ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,10.24 in/260 mm,20.91 in/531 mm,13.78 in/350 mm,25.28 in/642 mm,26.85 in/682 mm,6.3 in/160 mm,30.31 in/770 mm,9.3 in/236 mm,3.22 in/82 mm,1.5 in/36 mm,10.11 in/257 mm,5.46 in/138.7 mm,0.8 in/20.3 mm,10.83 in/275.1 mm,937000 lbf/4170000 N,626000 lbf/2780000 N,0.3,2.26,3.36,,,,,,,0.083 in/2.108 mm,,,
TAA31SN56K1000S,23156 ,10 in,11.02 in / 280 mm,25.59 in / 650 mm,27.17 in / 690 mm,6.3 in / 160 mm,937000 lbf / 4170000 N,626000 lbf / 2780000 N,,Mounted Bearing,23156,10 in,Imperial,TAA31SN56K1000SB/TAA31SN56K1000SC/TAA31SN56K1000SEB/TAA31SN56K1000SEC/TAA31SN56K1000SEM/TAA31SN56K1000SEN/TAA31SN56K1000SEO/TAA31SN56K1000SET/TAA31SN56K1000SMT/TAA31SN56K1000SNT/TAA31SN56K1000SO/TAA31SN56K1000ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,11.02 in/280 mm,21.69 in/551 mm,13.78 in/350 mm,25.59 in/650 mm,27.17 in/690 mm,6.3 in/160 mm,31.1 in/790 mm,9.3 in/236 mm,3.94 in/100 mm,1.5 in/36 mm,10.46 in/266 mm,5.46 in/138.7 mm,0.8 in/20.3 mm,10.83 in/275.1 mm,937000 lbf/4170000 N,626000 lbf/2780000 N,0.3,2.26,3.36,,,,,,,0.083 in/2.108 mm,,,
TAAPH056K1007S,23156 ,10 7/16 in,9.88 in / 250.9 mm,26.25 in / 666.7 mm,29.5 in / 749.3 mm,5.5 in / 139.7 mm,937000 lbf / 4170000 N,626000 lbf / 2780000 N,,Mounted Bearing,23156,10 7/16 in,Imperial,TAAPH056K1007SB/TAAPH056K1007SC/TAAPH056K1007SEB/TAAPH056K1007SEC/TAAPH056K1007SEM/TAAPH056K1007SEN/TAAPH056K1007SEO/TAAPH056K1007SET/TAAPH056K1007SMT/TAAPH056K1007SNT/TAAPH056K1007SO/TAAPH056K1007ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,9.88 in/250.9 mm,20.55 in/522 mm,13.78 in/350 mm,26.25 in/666.7 mm,29.5 in/749.3 mm,5.5 in/139.7 mm,34.25 in/869 mm,9.3 in/236.2 mm,2.8 in/71.1 mm,1.5 in/36 mm,10.11 in/256.8 mm,5.46 in/138.7 mm,0.8 in/20.3 mm,10.83 in/275.1 mm,937000 lbf/4170000 N,626000 lbf/2780000 N,0.3,2.26,3.36,,,,,,,0.083 in/2.108 mm,,,
TAAPH156K1007S,23156 ,10 7/16 in,12 in / 304.8 mm,30 in / 762 mm,33.5 in / 851 mm,9 in / 228.6 mm,937000 lbf / 4170000 N,626000 lbf / 2780000 N,,Mounted Bearing,23156,10 7/16 in,Imperial,TAAPH156K1007SB/TAAPH156K1007SC/TAAPH156K1007SEB/TAAPH156K1007SEC/TAAPH156K1007SEM/TAAPH156K1007SEN/TAAPH156K1007SEO/TAAPH156K1007SET/TAAPH156K1007SMT/TAAPH156K1007SNT/TAAPH156K1007SO/TAAPH156K1007ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,12 in/304.8 mm,22.67 in/576 mm,13.78 in/350 mm,30 in/762 mm,33.5 in/851 mm,9 in/228.6 mm,38.25 in/971.5 mm,13 in/330.2 mm,4 in/101.6 mm,1.625 in/42 mm,11.96 in/304 mm,5.46 in/138.7 mm,0.88 in/22.4 mm,10.83 in/275.1 mm,937000 lbf/4170000 N,626000 lbf/2780000 N,0.3,2.26,3.36,,,,,,,0.083 in/2.108 mm,,,
TAA30SN56K1007S,23156 ,10 7/16 in,10.24 in / 260 mm,25.28 in / 642 mm,26.85 in / 682 mm,6.3 in / 160 mm,937000 lbf / 4170000 N,626000 lbf / 2780000 N,,Mounted Bearing,23156,10 7/16 in,Imperial,TAA30SN56K1007SB/TAA30SN56K1007SC/TAA30SN56K1007SEB/TAA30SN56K1007SEC/TAA30SN56K1007SEM/TAA30SN56K1007SEN/TAA30SN56K1007SEO/TAA30SN56K1007SET/TAA30SN56K1007SMT/TAA30SN56K1007SNT/TAA30SN56K1007SO/TAA30SN56K1007ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,10.24 in/260 mm,20.91 in/531 mm,13.78 in/350 mm,25.28 in/642 mm,26.85 in/682 mm,6.3 in/160 mm,30.31 in/770 mm,9.3 in/236 mm,3.22 in/82 mm,1.5 in/36 mm,10.11 in/257 mm,5.46 in/138.7 mm,0.8 in/20.3 mm,10.83 in/275.1 mm,937000 lbf/4170000 N,626000 lbf/2780000 N,0.3,2.26,3.36,,,,,,,0.083 in/2.108 mm,,,
