Part Number,Shaft Size,Shaft Size Type,Bolt Spacing Min,Bolt Spacing Max,Base to Center Height,C90 Dynamic Load Rating,Max. Speed,Lubrication,CAD,LinkToPart,Shaft Size,Shaft Size Type,Lubrication,Housing Type,Housing Coating,Dimension B,Dimension L,Dimension A,Dimension J Min.,Dimension J Max.,Bolt Diameter,Dimension N,Dimension N1,Dimension N2,Dimension H1,Dimension H2,Dimension d1,Dimension H,Dimension W,e,X (if Fa/Fr ≤ e),Y (if Fa/Fr ≤ e),X (if Fa/Fr > e),Y (if Fa/Fr > e),K Factor,C90 Dynamic Load Rating1,C0 Static Load Rating,Fa-max Maximum Permissible Thrust Load2,Fr-max Maximum Allowable Slip Fit Radial Load3,Max. Speed4,Note,Dimension S1,Dimension R,Dimension E,C90 Dynamic Load Rating2,Fa-max Maximum Permissible Thrust Load3,Fr-max Maximum Allowable Slip Fit Radial Load4,Max. Speed5,EXPANSION
ESA-P4BA-TRB-4 7/16E,4 7/16 in,Imperial ,11-3/4 in,13-7/8 in,4-3/4 in,33000 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-4-7-16e,4 7/16 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,5-5/8 in,16-1/2 in,5-3/32 in,11-3/4 in,13-7/8 in,3/4 in,7/8 in,1-15/16 in,2-1/2 in,2-3/4 in,9-3/4 in,6-47/64 in,4-3/4 in,11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,,188400 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-3/8 in,2-1/4 in,5-29/32 in,33000 lbf,6908 lbf,27000 lbf,1360 rpm,9/16 in
SAFSA-P4BA-TRB-4 7/16,4 7/16 in,Imperial ,14-1/4 in,16 in,6 in,33000 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-4-7-16,4 7/16 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,5-5/8 in,17-1/2 in,5-3/4 in,14-1/4 in,16 in,7/8 in,1 in,1-7/8 in,3-1/4 in,2-1/4 in,11 in,6-47/64 in,6 in,11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,,188400 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-3/8 in,2-1/4 in,5-59/65 in,33000 lbf,6908 lbf,27000 lbf,1360 rpm,
SAFSA-P4BA-TRB-4 1/2,4 7/16 in,Imperial ,14-1/4 in,16 in,6 in,33000 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-4-1-2,4 7/16 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,5-5/8 in,17-1/2 in,5-3/4 in,14-1/4 in,16 in,7/8 in,1 in,1-7/8 in,3-1/4 in,2-1/4 in,11 in,6-47/64 in,6 in,11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,,188400 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-3/8 in,2-1/4 in,5-59/65 in,33000 lbf,6908 lbf,27000 lbf,1360 rpm,
SAFSA-P4BA-TRB-4 7/16E,4 7/16 in,Imperial ,14-1/4 in,16 in,6 in,33000 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-4-7-16e,4 7/16 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,5-5/8 in,17-1/2 in,5-3/4 in,14-1/4 in,16 in,7/8 in,1 in,1-7/8 in,3-1/4 in,2-1/4 in,11 in,6-47/64 in,6 in,11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,,188400 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-3/8 in,2-1/4 in,5-59/65 in,33000 lbf,6908 lbf,27000 lbf,1360 rpm,9/16 in
SAFSA-P4BA-TRB-4 1/2E,4 7/16 in,Imperial ,14-1/4 in,16 in,6 in,33000 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-4-1-2e,4 7/16 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,5-5/8 in,17-1/2 in,5-3/4 in,14-1/4 in,16 in,7/8 in,1 in,1-7/8 in,3-1/4 in,2-1/4 in,11 in,6-47/64 in,6 in,11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,,188400 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-3/8 in,2-1/4 in,5-59/65 in,33000 lbf,6908 lbf,27000 lbf,1360 rpm,9/16 in
KSA-P4BA-TRB-4 7/16,4 7/16 in,Imperial ,14-3/8 in,16-1/4 in,5-3/4 in,33300 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/ksa-p4ba-trb-4-7-16,4 7/16 in,Imperial,Grease - Premium Industrial,Double Interlock Self-Aligning,Powder Coat,5-5/8 in,17-1/2 in,5-3/4 in,14-3/8 in,16-1/4 in,3/4 in,13/16 in,1-49/64 in,2-1/4 in,2 in,10-3/4 in,6-47/64 in,5-3/4 in,11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,,188400 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-3/8 in,2-1/4 in,6-13/64 in,33300 lbf,6908 lbf,27000 lbf,1360 rpm,
KSA-P4BA-TRB-4 7/16E,4 7/16 in,Imperial ,14-3/8 in,16-1/4 in,5-3/4 in,33300 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/ksa-p4ba-trb-4-7-16e,4 7/16 in,Imperial,Grease - Premium Industrial,Double Interlock Self-Aligning,Powder Coat,5-5/8 in,17-1/2 in,5-3/4 in,14-3/8 in,16-1/4 in,3/4 in,13/16 in,1-49/64 in,2-1/4 in,2 in,10-3/4 in,6-47/64 in,5-3/4 in,11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,,188400 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-3/8 in,2-1/4 in,6-13/64 in,33300 lbf,6908 lbf,27000 lbf,1360 rpm,9/16 in
KSA-P4BA-TRB-4 1/2E,4 7/16 in,Imperial ,14-3/8 in,16-1/4 in,5-3/4 in,33300 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/ksa-p4ba-trb-4-1-2e,4 7/16 in,Imperial,Grease - Premium Industrial,Double Interlock Self-Aligning,Powder Coat,5-5/8 in,17-1/2 in,5-3/4 in,14-3/8 in,16-1/4 in,3/4 in,13/16 in,1-49/64 in,2-1/4 in,2 in,10-3/4 in,6-47/64 in,5-3/4 in,11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,,188400 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-3/8 in,2-1/4 in,6-13/64 in,33300 lbf,6908 lbf,27000 lbf,1360 rpm,9/16 in
SNSA-P4BA-TRB-4 7/16,4 7/16 in,Imperial ,367.5 mm / 14-15/32 in,400.1 mm / 15-3/4 in,150 mm / 5-29/32 in,33300 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-4-7-16,4 7/16 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,142.9 mm/5-5/8 in,444.5 mm/17-1/2 in,146.1 mm/5-3/4 in,367.5 mm/14-15/32 in,400.1 mm/15-3/4 in,24 mm/7/8 in,26.2 mm/1-1/32 in,42.9 mm/1-11/16 in,69.9 mm/2-3/4 in,54.8 mm/2-5/32 in,277.4 mm/10-59/64 in,171.1 mm/6-47/64 in,150 mm/5-29/32 in,281.8 mm/11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,33300 lbf,188400 lbf,6908 lbf,27000 lbf,1360 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,
SNSA-P4BA-TRB-4 7/16E,4 7/16 in,Imperial ,367.5 mm / 14-15/32 in,400.1 mm / 15-3/4 in,150 mm / 5-29/32 in,33300 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-4-7-16e,4 7/16 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,142.9 mm/5-5/8 in,444.5 mm/17-1/2 in,146.1 mm/5-3/4 in,367.5 mm/14-15/32 in,400.1 mm/15-3/4 in,24 mm/7/8 in,26.2 mm/1-1/32 in,42.9 mm/1-11/16 in,69.9 mm/2-3/4 in,54.8 mm/2-5/32 in,277.4 mm/10-59/64 in,171.1 mm/6-47/64 in,150 mm/5-29/32 in,281.8 mm/11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,33300 lbf,188400 lbf,6908 lbf,27000 lbf,1360 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,14.2 mm/9/16 in
ESA-P4BA-TRB-4 1/2,4 1/2 in,Imperial ,11-3/4 in,13-7/8 in,4-3/4 in,33000 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-4-1-2,4 1/2 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,5-5/8 in,16-1/2 in,5-3/32 in,11-3/4 in,13-7/8 in,3/4 in,7/8 in,1-15/16 in,2-1/2 in,2-3/4 in,9-3/4 in,6-47/64 in,4-3/4 in,11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,,188400 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-3/8 in,2-1/4 in,5-29/32 in,33000 lbf,6908 lbf,27000 lbf,1360 rpm,
ESA-P4BA-TRB-4 1/2E,4 1/2 in,Imperial ,11-3/4 in,13-7/8 in,4-3/4 in,33000 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-4-1-2e,4 1/2 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,5-5/8 in,16-1/2 in,5-3/32 in,11-3/4 in,13-7/8 in,3/4 in,7/8 in,1-15/16 in,2-1/2 in,2-3/4 in,9-3/4 in,6-47/64 in,4-3/4 in,11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,,188400 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-3/8 in,2-1/4 in,5-29/32 in,33000 lbf,6908 lbf,27000 lbf,1360 rpm,9/16 in
SNSA-P4BA-TRB-4 1/2,4 1/2 in,Imperial ,367.5 mm / 14-15/32 in,400.1 mm / 15-3/4 in,150 mm / 5-29/32 in,33300 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-4-1-2,4 1/2 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,142.9 mm/5-5/8 in,444.5 mm/17-1/2 in,146.1 mm/5-3/4 in,367.5 mm/14-15/32 in,400.1 mm/15-3/4 in,24 mm/7/8 in,26.2 mm/1-1/32 in,42.9 mm/1-11/16 in,69.9 mm/2-3/4 in,54.8 mm/2-5/32 in,277.4 mm/10-59/64 in,171.1 mm/6-47/64 in,150 mm/5-29/32 in,281.8 mm/11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,33300 lbf,188400 lbf,6908 lbf,27000 lbf,1360 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,
KSA-P4BA-TRB-4 1/2,4 1/2 in,Imperial ,14-3/8 in,16-1/4 in,5-3/4 in,33300 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/ksa-p4ba-trb-4-1-2,4 1/2 in,Imperial,Grease - Premium Industrial,Double Interlock Self-Aligning,Powder Coat,5-5/8 in,17-1/2 in,5-3/4 in,14-3/8 in,16-1/4 in,3/4 in,13/16 in,1-49/64 in,2-1/4 in,2 in,10-3/4 in,6-47/64 in,5-3/4 in,11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,,188400 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-3/8 in,2-1/4 in,6-13/64 in,33300 lbf,6908 lbf,27000 lbf,1360 rpm,
SNSA-P4BA-TRB-4 1/2E,4 1/2 in,Imperial ,367.5 mm / 14-15/32 in,400.1 mm / 15-3/4 in,150 mm / 5-29/32 in,33300 lbf,1360 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-4-1-2e,4 1/2 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,142.9 mm/5-5/8 in,444.5 mm/17-1/2 in,146.1 mm/5-3/4 in,367.5 mm/14-15/32 in,400.1 mm/15-3/4 in,24 mm/7/8 in,26.2 mm/1-1/32 in,42.9 mm/1-11/16 in,69.9 mm/2-3/4 in,54.8 mm/2-5/32 in,277.4 mm/10-59/64 in,171.1 mm/6-47/64 in,150 mm/5-29/32 in,281.8 mm/11-3/32 in,0.53,0.87,1.63,0.7,1.97,1.13,33300 lbf,188400 lbf,6908 lbf,27000 lbf,1360 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,14.2 mm/9/16 in
ESA-P4BA-TRB-4 15/16,4 15/16 in,Imperial ,13-1/2 in,15-7/8 in,5-1/2 in,45500 lbf,1200 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-4-15-16,4 15/16 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,6-7/32 in,18-1/2 in,5-21/32 in,13-1/2 in,15-7/8 in,7/8 in,1-1/32 in,2-7/32 in,2-7/8 in,3 in,11-11/32 in,7-3/4 in,5-1/2 in,12-23/32 in,0.47,0.87,1.83,0.7,2.21,1.27,,266000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-5/8 in,2-19/32 in,5-27/64 in,45500 lbf,6908 lbf,35000 lbf,1200 rpm,
ESA-P4BA-TRB-4 15/16E,4 15/16 in,Imperial ,13-1/2 in,15-7/8 in,5-1/2 in,45500 lbf,1200 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-4-15-16e,4 15/16 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,6-7/32 in,18-1/2 in,5-21/32 in,13-1/2 in,15-7/8 in,7/8 in,1-1/32 in,2-7/32 in,2-7/8 in,3 in,11-11/32 in,7-3/4 in,5-1/2 in,12-23/32 in,0.47,0.87,1.83,0.7,2.21,1.27,,266000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-5/8 in,2-19/32 in,5-27/64 in,45500 lbf,6908 lbf,35000 lbf,1200 rpm,9/16 in
SAFSA-P4BA-TRB-4 15/16,4 15/16 in,Imperial ,16 in,17-1/8 in,6 in,45500 lbf,1200 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-4-15-16,4 15/16 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,6-7/32 in,19-11/16 in,5-21/32 in,16 in,17-1/8 in,1 in,1-1/32 in,1-19/32 in,3-3/8 in,2 in,11-27/32 in,7-3/4 in,6 in,12-23/32 in,0.47,0.87,1.83,0.7,2.21,1.27,,266000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-5/8 in,2-19/32 in,5-27/64 in,45500 lbf,6908 lbf,35000 lbf,1200 rpm,
SAFSA-P4BA-TRB-4 15/16E,4 15/16 in,Imperial ,16 in,17-1/8 in,6 in,45500 lbf,1200 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-4-15-16e,4 15/16 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,6-7/32 in,19-11/16 in,5-21/32 in,16 in,17-1/8 in,1 in,1-1/32 in,1-19/32 in,3-3/8 in,2 in,11-27/32 in,7-3/4 in,6 in,12-23/32 in,0.47,0.87,1.83,0.7,2.21,1.27,,266000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-5/8 in,2-19/32 in,5-27/64 in,45500 lbf,6908 lbf,35000 lbf,1200 rpm,9/16 in
KSA-P4BA-TRB-4 15/16,4 15/16 in,Imperial ,15-1/2 in,18 1/16 in,6-1/4 in,45500 lbf,1200 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/ksa-p4ba-trb-4-15-16,4 15/16 in,Imperial,Grease - Premium Industrial,Double Interlock Self-Aligning,Powder Coat,6-7/32 in,19-11/16 in,5-21/32 in,15-1/2 in,18 1/16 in,7/8 in,1 in,2-9/32 in,2-1/2 in,2-1/4 in,12-1/16 in,7-3/4 in,6-1/4 in,12-23/32 in,0.47,0.87,1.83,0.7,2.21,1.27,,266000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-5/8 in,2-19/32 in,6-29/64 in,45500 lbf,6908 lbf,35000 lbf,1200 rpm,
KSA-P4BA-TRB-4 15/16E,4 15/16 in,Imperial ,15-1/2 in,18 1/16 in,6-1/4 in,45500 lbf,1200 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/ksa-p4ba-trb-4-15-16e,4 15/16 in,Imperial,Grease - Premium Industrial,Double Interlock Self-Aligning,Powder Coat,6-7/32 in,19-11/16 in,5-21/32 in,15-1/2 in,18 1/16 in,7/8 in,1 in,2-9/32 in,2-1/2 in,2-1/4 in,12-1/16 in,7-3/4 in,6-1/4 in,12-23/32 in,0.47,0.87,1.83,0.7,2.21,1.27,,266000 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",3-5/8 in,2-19/32 in,6-29/64 in,45500 lbf,6908 lbf,35000 lbf,1200 rpm,9/16 in
SNSA-P4BA-TRB-4 15/16,4 15/16 in,Imperial ,384.2 mm / 15-1/8 in,441.3 mm / 17-3/8 in,150 mm / 5-29/32 in,45500 lbf,1200 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-4-15-16,4 15/16 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,158 mm/6-7/32 in,500.5 mm/19-45/64 in,143.7 mm/5-21/32 in,384.2 mm/15-1/8 in,441.3 mm/17-3/8 in,24 mm/7/8 in,26.2 mm/1-1/32 in,29.4 mm/1-5/32 in,80.2 mm/3-5/32 in,48.4 mm/1-29/32 in,298.5 mm/11-3/4 in,196.9 mm/7-3/4 in,150 mm/5-29/32 in,323.1 mm/12-23/32 in,0.47,0.87,1.83,0.7,2.21,1.27,45500 lbf,266000 lbf,6908 lbf,35000 lbf,1200 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,
